epoch,train_loss,val_dice,val_iou
1,0.45867760008887243,0.9499988754590353,0.9059679468472799
2,0.20640941121076284,0.954412845770518,0.9138061960538229
3,0.18121819825548874,0.9498048027356466,0.906671158472697
4,0.1652399896268259,0.958842400709788,0.9221970240275065
5,0.14729817420767063,0.9586756587028503,0.9219251195589702
6,0.13910893716833048,0.9586725950241088,0.9219669739405314
7,0.1310080233634564,0.9590757091840109,0.922644066810608
8,0.12847679827296943,0.9560256560643514,0.9171916524569194
9,0.12418222897931148,0.959547221660614,0.9234859387079875
10,0.1192747398949506,0.9587390343348186,0.9221803506215414
11,0.1162275677187401,0.9593863487243652,0.9232424179712931
12,0.11451802376592368,0.9601513187090556,0.9246016303698222
13,0.11389629529756412,0.9604484558105468,0.9252724528312684
14,0.11104571466383181,0.9588154951731364,0.9222335577011108
15,0.10935427522973011,0.9597582181294759,0.923934257030487
16,0.10868439771104277,0.942885688940684,0.894938858350118
17,0.10907062273799327,0.9590652187665304,0.9225447217623393
18,0.10471098007340181,0.9608538071314494,0.9259437084197998
19,0.1022370247203007,0.9610554655392964,0.9263589143753052
20,0.10177786177710484,0.9607047239939371,0.9256634791692098
21,0.0997171625494957,0.960820198059082,0.9259251157442728
22,0.09932021234641995,0.9605915387471516,0.9255775729815165
23,0.09877830403938628,0.9597482323646546,0.924026882648468
24,0.09541062330990507,0.9610454161961873,0.9263500769933065
25,0.09305195784882496,0.9601527333259583,0.9248427867889404
