epoch,train_loss,val_dice,val_iou
1,0.6501640180746714,0.947406284014384,0.9010632753372192
2,0.44861926112258643,0.9561373869578044,0.91718989610672
3,0.39954935824661925,0.9574586987495423,0.9196216384569804
4,0.3628477224132471,0.9561642209688822,0.917199452718099
5,0.3304494117435656,0.9571070194244384,0.9191270589828491
6,0.30782043437163037,0.9596435070037842,0.9235763311386108
7,0.2825864158701478,0.9595868229866028,0.9235871116320292
8,0.26210941949434446,0.9591153065363566,0.9226553599039714
9,0.24118686009917342,0.9594554583231608,0.9233464280764262
10,0.22626291659840367,0.9599093159039815,0.924205219745636
11,0.21544610931162247,0.9579238772392273,0.9203963160514832
12,0.20931599119253325,0.9583380381266277,0.9211829980214437
13,0.19500707952599777,0.9608133276303609,0.9258136510848999
14,0.18882512837125545,0.9588165442148845,0.9221834739049276
15,0.17647686469973178,0.9603264848391215,0.9248698512713115
16,0.16787208590591163,0.960922900835673,0.9260348796844482
17,0.16142911202552027,0.9610759139060974,0.9263919234275818
18,0.15631163120269775,0.9609500209490458,0.9260948181152344
19,0.1494900661340931,0.9607443531354268,0.9258351365725199
20,0.1462543065610685,0.9612978061040243,0.9267467141151429
21,0.14408631479008155,0.960981285572052,0.9261775970458984
22,0.1379116157952108,0.9616176128387451,0.9273359338442485
23,0.13331270596960135,0.9600947936375935,0.9246092637379965
24,0.13202311908989622,0.96032186349233,0.9249589721361796
25,0.1295656174944158,0.9595345099767049,0.9235111713409424
