epoch,train_loss,val_dice,val_iou
1,0.7528536522388458,0.8103750007493156,0.6868537749562945
2,0.4268500125408173,0.9508694240025112,0.9068670102528164
3,0.37092172861099243,0.9632603440965924,0.9295111128262111
4,0.34041878700256345,0.9704870070729937,0.9429276841027396
5,0.31399043917655944,0.9706707511629377,0.9432606867381504
6,0.29749139785766604,0.9731698376791817,0.9479871136801583
7,0.27808019816875457,0.9749529361724854,0.9513511998312814
8,0.26220190405845645,0.9752233794757298,0.9518744434629168
9,0.2531690907478332,0.9749168413025993,0.9512507574898856
10,0.23865760564804078,0.9744616832051959,0.9504270042691912
11,0.22605689465999604,0.9776053428649902,0.9563613108226231
12,0.2144990587234497,0.9771661588123867,0.9555474775178092
13,0.20504090070724487,0.9756733349391392,0.9527379955564227
14,0.19618647456169128,0.9746632831437247,0.9508335420063564
15,0.1882203549146652,0.9764209815434047,0.9541118655885968
16,0.18430896520614623,0.9766183921269008,0.9545671514102391
17,0.1772537934780121,0.9782857043402535,0.9576686109815326
18,0.1720769786834717,0.9786757401057652,0.9584415895598275
19,0.16953442990779877,0.9784534318106515,0.9579779505729675
20,0.16479870080947875,0.978469899722508,0.9580267071723938
21,0.1592511361837387,0.978725152356284,0.9585190159933907
22,0.15607962131500244,0.9784463473728725,0.9580015114375523
23,0.15285394728183746,0.9786479643412999,0.9583969286509922
24,0.15016772329807282,0.9785349539348057,0.958184472152165
25,0.14850744664669036,0.9784966962678092,0.9580874017306736
